condition,iteration,sig_n,nonsig_n,sig_median_delta_h1_zero,nonsig_median_delta_h1_zero,median_diff_delta_h1_zero,sig_median_delta_lambda2,nonsig_median_delta_lambda2,median_diff_delta_lambda2,sig_median_delta_aspl,nonsig_median_delta_aspl,median_diff_delta_aspl
true,,17,9,0.03759398496240601,-0.015037593984962405,0.05263157894736842,0.3400265685529398,-0.18376906950445582,0.5237956380573956,-0.10094398448060016,-0.033163489065273666,-0.06778049541532649
false_session_matching,0.0,18,8,-0.007518796992481203,-0.015037593984962405,0.007518796992481203,0.29189186306491743,-0.3428481675840547,0.6347400306489721,-0.1785874888361938,0.08424232144541088,-0.2628298102816047
false_session_matching,1.0,16,10,-0.03383458646616541,0.011278195488721804,-0.045112781954887216,-0.05115592526666313,0.22846593277221783,-0.27962185803888095,0.05548341890293007,-0.08963549241954971,0.14511891132247978
false_session_matching,2.0,18,8,-0.03383458646616541,0.09022556390977443,-0.12406015037593984,0.08904545084266702,0.0002233906598860802,0.08882206018278094,-0.08116887944430795,0.08346792841160555,-0.1646368078559135
false_session_matching,3.0,18,8,0.03007518796992481,-0.015037593984962405,0.045112781954887216,0.17167981806192412,0.3313057844454699,-0.15962596638354576,-0.07069980380292828,-0.07902023346618314,0.008320429663254858
false_session_matching,4.0,21,5,-0.015037593984962405,0.09022556390977443,-0.10526315789473684,0.25240197750168214,-0.04939742378632239,0.30179940128800453,-0.06407599780938034,-0.12779505168037453,0.06371905387099419
false_session_matching,5.0,15,11,-0.015037593984962405,0.0,-0.015037593984962405,0.20582326995829003,0.201877157713946,0.003946112244344047,-0.06257166733814712,-0.20061672719271595,0.13804505985456883
false_session_matching,6.0,20,6,0.08270676691729323,0.11654135338345864,-0.03383458646616541,0.04024791076563616,1.5095467672824616,-1.4692988565168255,-0.02791980399491889,-0.24740806411210525,0.21948826011718636
false_session_matching,7.0,21,5,-0.015037593984962405,0.09022556390977443,-0.10526315789473684,-0.15050806203753142,0.9163992187623426,-1.066907280799874,-0.03308371447111291,0.04649188687597139,-0.0795756013470843
false_session_matching,8.0,17,9,-0.015037593984962405,0.03759398496240601,-0.05263157894736842,-0.030444843423571122,0.3261136886975784,-0.3565585321211495,0.05271527830752998,0.024500273712992904,0.028215004594537074
false_session_matching,9.0,13,13,0.0,0.09022556390977443,-0.09022556390977443,-0.051488187483685,0.28445510251130024,-0.33594328999498524,-0.20877056285853923,0.019040794600418742,-0.22781135745895797
false_session_matching,10.0,21,5,0.07518796992481203,0.09022556390977443,-0.015037593984962405,0.22222619391490506,0.2716001445538847,-0.04937395063897965,-0.024234951591731058,-0.11036836895749569,0.08613341736576463
false_session_matching,11.0,19,7,0.14285714285714285,0.03759398496240601,0.10526315789473684,0.12343445095991701,0.1891212498341832,-0.0656867988742662,-0.15677273652881718,-0.10187006187232317,-0.05490267465649401
false_session_matching,12.0,15,11,-0.015037593984962405,0.03759398496240601,-0.05263157894736842,0.016475911374878027,0.020136245403283404,-0.0036603340284053765,-0.0040412499560504855,-0.15919021645158526,0.15514896649553478
false_session_matching,13.0,18,8,0.05639097744360902,-0.03383458646616541,0.09022556390977443,0.15956353883659924,0.3065740135549977,-0.14701047471839845,-0.07206591751820057,-0.1329458190628422,0.060879901544641624
false_session_matching,14.0,16,10,-0.03383458646616541,0.018796992481203006,-0.05263157894736842,-0.13497748144885113,0.6683592156462719,-0.803336697095123,-0.05726752709856209,-0.1577449057216329,0.10047737862307082
false_session_matching,15.0,17,9,0.09022556390977443,0.0,0.09022556390977443,-0.015414192686436845,0.06242132387825583,-0.07783551656469267,-0.08366763702579716,0.059475775696815614,-0.14314341272261277
